stock_code,code,name,market,sector,industry
2374.TW,2374,佳能,上市,Technology,Electronics
2375.TW,2375,智寶,上市,Technology,Electronics
2376.TW,2376,技嘉,上市,Technology,Electronics
2377.TW,2377,微星,上市,Technology,Electronics
2379.TW,2379,瑞昱,上市,Technology,Electronics
2380.TW,2380,虹光,上市,Technology,Electronics
2382.TW,2382,廣達,上市,Technology,Computer Hardware
2383.TW,2383,台光電,上市,Technology,Electronics
2384.TW,2384,勝華,上市,Technology,Electronics
2385.TW,2385,群光,上市,Technology,Electronics
2387.TW,2387,精元,上市,Technology,Electronics
2388.TW,2388,威盛,上市,Technology,Electronics
2390.TW,2390,云辰,上市,Technology,Electronics
2392.TW,2392,正崴,上市,Technology,Electronics
2393.TW,2393,億光,上市,Technology,Electronics
2395.TW,2395,研華,上市,Technology,Electronics
2397.TW,2397,友通,上市,Technology,Electronics
2399.TW,2399,映泰,上市,Technology,Electronics
2401.TW,2401,凌陽,上市,Others,Others
2402.TW,2402,毅嘉,上市,Others,Others
2404.TW,2404,漢唐,上市,Others,Others
